title,content,time,vnum,cnum,pic
每股41欧元 照明专家欧司朗即将被出售,[汽车之家 行业]  近日，德国照明公司欧司朗(OSRAM)宣布已与奥地利半导体公司艾迈斯（AMS）达成全面的企业合并协议，并建议其股东接受目前的收购...,1天前,5414,4,//www2.autoimg.cn/newsdfs/g1/M02/5E/D1/120x90_0_autohomecar__ChsEj13PrniAYeI2AAH6GTujXjI974.jpg
数据解析头部中国车企如何突破市场壁垒,[汽车之家 行业]  在国内汽车市场上，中国品牌似乎一直受强势合资品牌的压制，尤其是在高端车型领域。曾经抓住机遇率先在SUV市场上出击获得的先发优势，...,1天前,2.9万,75,//www2.autoimg.cn/newsdfs/g24/M07/9C/9F/120x90_0_autohomecar__ChsEl13QmRaAXHNAAAHuE7S8P5g551.jpg
自动驾驶能挣钱？戴姆勒：我也不确定,[汽车之家 行业]  尽管舆论都期待自动驾驶得以早日实现，但许多车企及技术公司却大幅放缓了进度，他们认为自动驾驶真正大规模商业化要比想象中的晚得多。全...,1天前,4968,5,//www2.autoimg.cn/newsdfs/g30/M06/45/8B/120x90_0_autohomecar__ChsEoF3Plr2ABWGJAAFaeNDKHl8991.jpg
投资超4600亿 大众电气化“急加速”,[汽车之家 行业]  据大众集团官方对外公布的信息显示，作为“Planning Round 68”计划的一部分，大众在2020年至2024年间将在混合...,1天前,7422,11,//www3.autoimg.cn/newsdfs/g25/M07/A0/65/120x90_0_autohomecar__ChsEmF3PZwuAagjMAAGSLqwh9E0703.jpg
可惜不是你 海外抢先测雪佛兰Blazer RS,[汽车之家 海外试驾]  对于大多数“90后”的朋友们来说，提起开拓者，首先想到的应该会是NBA的波特兰开拓者篮球队，而不会是雪佛兰旗下某款车型的名字...,1天前,70.8万,645,//www2.autoimg.cn/newsdfs/g30/M0A/46/F9/120x90_0_autohomecar__ChsEf13P0gyAKTERAADi3vNwR6g634.jpg
首推自动智联科技版 传祺GS4购车手册,[汽车之家 购车手册] 2019年11月15日，广汽传祺正式发布了全新传祺GS4车型，作为全新的第二代车型，它延续了品牌一贯优雅的设计，而且换代后新车...,1天前,4.4万,147,//www2.autoimg.cn/newsdfs/g2/M05/45/39/120x90_0_autohomecar__ChsEkF3Pv92AbdrjAAG4wIHhWmU675.jpg
低调处事哲学 测试星途LX 1.6T 星尊版,[汽车之家 专业评测]  这是一个满怀预期、饱含期望的名字――星途。它是奇瑞旗下的高端品牌，说起类似的，我们很容易就想到领克还有WEY。与这两位相比，...,1天前,41.0万,436,//www3.autoimg.cn/newsdfs/g2/M02/7D/38/120x90_0_autohomecar__ChsEml3Pu0SAT_edAAHsxI5950U397.jpg
亲友的评价 奥德赛锐・混动长测（3）,[汽车之家 长期测试]  奥德赛，早在上世纪90年代就曾以进口的形式引进到国内销售，并在2002年正式实现国产，至今在国内已经发展到第五代车型。这些年...,1天前,8.4万,410,//www3.autoimg.cn/newsdfs/g29/M0B/48/C5/120x90_0_autohomecar__ChsEn13PyrKAdnT6AADFusVZJ2E183.jpg
让年轻人心动 马自达阿特兹长测（1）,[汽车之家 长期测试] 如果你打算购买一辆中型车，可以看到在国内中型车这个级别里，每家的产品都会有不同的卖点来夺取市场份额，有的车讲究综合素质，各方面...,1天前,7.7万,94,//www3.autoimg.cn/newsdfs/g1/M01/64/8C/120x90_0_autohomecar__ChsEmV3OwaKATvFjAACGDyGCVO0138.jpg
会车斗大灯撞死毛驴 驴死车毁谁来赔,[汽车之家 家家金融] 晚上开车的时候，最怕对面来车开远光灯。大部分司机会选择忍气吞声，但也有些司机会以眼还眼。前不久，内蒙古就发生了一起深夜会车斗大...,1天前,2.0万,67,//www3.autoimg.cn/newsdfs/g2/M0A/3C/42/120x90_0_autohomecar__ChsEkF3NL6-ATtSZAAGdyMY5CdQ032.jpg
新款奔驰GLC Coupe将于广州车展上市,[汽车之家 新闻]  日前，我们从官方了解到，梅赛德斯-奔驰GLC Coupe将于11月22日开幕的2019广州车展中正式上市。作为中期改款车型，新款...,1天前,3.6万,37,//www3.autoimg.cn/newsdfs/g28/M00/44/8B/120x90_0_autohomecar__ChsEnl3PSp-APIpIAAFwzt0_4Jg122.jpg
5G“真香” 中国移动竟然掺和自动泊车,[汽车之家 行业]  日前，博世与中国移动联合发布5G自动代客泊车系统解决方案。该方案的发布，标志着双方在自动代客泊车商业化进程上又向前迈进了一步。同...,2天前,2.0万,24,//www3.autoimg.cn/newsdfs/g3/M04/54/50/120x90_0_autohomecar__ChsEkV3PbUqAL_6cAAFoIEBejso771.jpg
削减77亿成本 奔驰宣布裁员等降本措施,[汽车之家 行业]  在近日召开的戴姆勒资本市场日上，戴姆勒集团及奔驰汽车CEO康林松公布了新的可持续发展方案。『奔驰发布新的可持续发展战略』    ...,2天前,2.4万,52,//www3.autoimg.cn/newsdfs/g2/M0B/79/84/120x90_0_autohomecar__ChsEml3Oj-iAXu5aAAH0ldM4zWY512.jpg
雪佛兰畅巡内饰将于11月22日正式亮相,[汽车之家 新闻]  日前，我们从上汽通用雪佛兰官方了解到，旗下全新纯电动紧凑型SUV――畅巡将于11月22日正式开幕的2019广州车展中正式展示其内...,2天前,3.2万,38,//www3.autoimg.cn/newsdfs/g27/M07/4B/10/120x90_0_autohomecar__ChcCQF3PRGyAGiTiAAHlnQR24Gg655.jpg
816马力？ 疑似Cayenne Coupé RS谍照,[汽车之家 海外谍照]  近日，有海外媒体在纽伯格林北环赛道上拍摄到了一组Cayenne Coupé测试车的谍照，这台Cayenne Cou...,2天前,6.4万,43,//www3.autoimg.cn/newsdfs/g2/M02/30/87/120x90_0_autohomecar__ChcCRF3OY1-AVfj6AAJkTPBRJic079.jpg
行动接地气 与博泽CEO畅谈未来出行,[汽车之家 行业]  有个很有意思的现象，在两点一线的生活外，越来越多的男人习惯在车里多坐一会，享受两点一线外的“第三空间”。事实上，无论是厂商还是消...,2天前,1.0万,12,//www2.autoimg.cn/newsdfs/g2/M03/42/FD/120x90_0_autohomecar__ChsEkF3PNnOAeB1gAAEP5xbopNo406.jpg
两种动力 一汽-大众探影12月4日上市,[汽车之家 新闻]  日前，我们从一汽-大众官方了解到，旗下首款小型SUV――探影将于12月4日正式上市。新车基于MQB A0平台打造，搭载1.4T/...,2天前,16.0万,151,//www3.autoimg.cn/newsdfs/g3/M00/40/07/120x90_0_autohomecar__ChsEm13PN6OAcNd6AACE_1JOlFg307.jpg
暗夜的君王 实拍Black Badge库里南,[汽车之家 新车图解]  有人说：“如果你厌倦了伦敦，也就厌倦了生活。因为生活所能给你的一切，伦敦都有。”伦敦是否真有那样的神奇魅力，我们不得而知。如...,2天前,7.5万,53,//www3.autoimg.cn/newsdfs/g24/M0A/A4/18/120x90_0_autohomecar__ChsEeV3PEnyAXmTNAAC-dtTAyjc494.jpg
能跟车“对话” 倍耐力展示5G智能轮胎,[汽车之家 行业]  日前，倍耐力展示了“世界上第一个5G增强ADAS服务（高级驾驶员辅助系统）”案例，装有传感器的倍耐力Cyber轮胎可以将路面信息...,2天前,6917,5,//www3.autoimg.cn/newsdfs/g30/M04/42/C3/120x90_0_autohomecar__ChsEf13OiiaAMnYQAAHlpogWCmY799.jpg
拯救女司机 新型后方自动刹车技术问世,[汽车之家 行业]  防止前向碰撞的自动紧急刹车系统（AEB）已逐步成为汽车强制性搭载配置，它能帮助驾驶员在追尾的危机关头将车辆刹停，从而避免交通事故...,2天前,6934,13,//www3.autoimg.cn/newsdfs/g26/M04/44/08/120x90_0_autohomecar__ChsEnF3OceCASdvtAAFlm0OHQag481.jpg
海外车闻|力帆海外建厂/英菲尼迪推新车,[汽车之家 行业]  2019洛杉矶车展即将开幕，作为美国每年最后一个颇具影响力的车展，我们将看到众多首发新车或是神秘车型。本周，《海外车闻》除了按照...,2天前,3.6万,19,//www3.autoimg.cn/newsdfs/g1/M05/5A/DC/120x90_0_autohomecar__ChsEj13Of5aAIBE1AACE97bYuLo356.jpg
寻求扭转颓势 神龙调整内部决策模式,[汽车之家 行业]  近日，神龙汽车“元”计划又有新的动作。据悉，作为“元”计划的一部分，神龙汽车将对旗下东风标致与东风雪铁龙的高管进行调整。此次调整...,2天前,9458,54,//www3.autoimg.cn/newsdfs/g2/M05/77/C3/120x90_0_autohomecar__ChsEml3OPHGAW0BkAAHaoQkiNi0471.jpg
